time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050408:1810,0.0,0.0,0.0,0.0,0.0,12.76,2.62,0.0
20050408:1910,0.0,0.0,0.0,0.0,0.0,12.32,2.69,0.0
20050408:2010,0.0,0.0,0.0,0.0,0.0,11.59,2.83,0.0
20050408:2110,0.0,0.0,0.0,0.0,0.0,11.03,2.97,0.0
20050408:2210,0.0,0.0,0.0,0.0,0.0,10.74,3.1,0.0
20050408:2310,0.0,0.0,0.0,0.0,0.0,10.52,3.03,0.0
20050409:0010,0.0,0.0,0.0,0.0,0.0,10.25,2.9,0.0
20050409:0110,0.0,0.0,0.0,0.0,0.0,10.22,2.83,0.0
20050409:0210,0.0,0.0,0.0,0.0,0.0,10.29,2.9,0.0
20050409:0310,0.0,0.0,0.0,0.0,0.0,10.16,2.83,0.0
20050409:0410,0.0,0.0,0.0,0.0,0.0,9.79,2.76,0.0
20050409:0510,3.66,0.0,12.79,0.44,11.92,10.06,2.55,0.0
20050409:0610,10.28,0.0,23.02,0.79,22.09,11.94,2.14,0.0
20050409:0710,451.43,310.88,228.24,11.19,31.76,15.38,2.41,0.0
20050409:0810,617.54,532.53,211.54,17.05,40.34,16.88,3.66,0.0
20050409:0910,591.89,484.96,222.71,19.98,46.95,17.77,4.62,0.0
20050409:1010,384.24,121.85,338.02,15.79,50.44,18.35,4.55,0.0
20050409:1110,371.82,155.71,293.97,18.57,49.93,18.86,4.48,0.0
20050409:1210,139.54,0.0,178.22,6.12,45.55,19.06,4.48,0.0
20050409:1310,26.21,0.0,44.99,1.7,38.35,19.03,4.69,0.0
20050409:1410,53.57,0.0,78.35,2.96,29.43,18.63,4.34,0.0
20050409:1510,16.84,0.0,32.58,1.23,19.59,17.81,3.17,0.0
20050409:1610,7.09,0.0,18.62,0.7,9.38,16.82,2.76,0.0
20050409:1710,0.0,0.0,0.0,0.0,-0.8,15.6,2.48,0.0
20050409:1810,0.0,0.0,0.0,0.0,0.0,14.71,2.48,0.0
20050409:1910,0.0,0.0,0.0,0.0,0.0,13.14,2.48,0.0
